ID;entitlement_ID;usageDate;amount;unit;region;note
33333333-3333-3333-3333-333333333301;22222222-2222-2222-2222-222222222201;2025-02-10;120;GB;eu10;Initial data load
33333333-3333-3333-3333-333333333302;22222222-2222-2222-2222-222222222201;2025-03-15;80;GB;eu10;Quarterly growth
33333333-3333-3333-3333-333333333303;22222222-2222-2222-2222-222222222201;2025-04-20;60;GB;eu10;Reporting mart
33333333-3333-3333-3333-333333333304;22222222-2222-2222-2222-222222222202;2025-02-01;16;GB;eu10;App scale-out
33333333-3333-3333-3333-333333333305;22222222-2222-2222-2222-222222222202;2025-03-01;20;GB;eu10;New microservice
33333333-3333-3333-3333-333333333306;22222222-2222-2222-2222-222222222203;2025-03-10;25;GB;us10;Backup bucket
33333333-3333-3333-3333-333333333307;22222222-2222-2222-2222-222222222203;2025-04-05;15;GB;us10;Media assets
33333333-3333-3333-3333-333333333308;22222222-2222-2222-2222-222222222204;2025-02-15;250000;messages;eu10;EDI onboarding
33333333-3333-3333-3333-333333333309;22222222-2222-2222-2222-222222222204;2025-05-15;300000;messages;eu10;Partner rollout
33333333-3333-3333-3333-333333333310;22222222-2222-2222-2222-222222222205;2025-06-15;100;hours;ap10;Model fine-tuning
